,totalSales,featuresVector
31,45.9402,"[7.63,1.0,0.235859408,1.0,46.1402,33.0,2.0,1.0,1.0]"
32,47.2718,"[9.1,0.0,0.134393836,2.0,48.0718,20.0,1.0,3.0,1.0]"
33,47.2718,"[19.0,1.0,0.170382726,3.0,45.2718,33.0,2.0,1.0,1.0]"
34,47.9376,"[10.5,1.0,0.080688663,4.0,46.7376,20.0,1.0,3.0,1.0]"
35,48.6034,"[6.8,0.0,0.062762374,6.0,50.4034,20.0,1.0,3.0,1.0]"
36,48.6034,"[6.8,0.0,0.065652494,6.0,48.9034,33.0,2.0,1.0,1.0]"
37,49.2692,"[12.35,1.0,0.121174241,4.0,47.8692,20.0,1.0,3.0,1.0]"
38,49.2692,"[15.5,1.0,0.143670179,3.0,48.4692,20.0,1.0,3.0,1.0]"
39,49.935,"[7.935,0.0,0.0,4.0,51.235,33.0,2.0,1.0,1.0]"
40,50.6008,"[8.895,1.0,0.141975462,1.0,49.6008,33.0,2.0,1.0,1.0]"
41,50.6008,"[10.6,1.0,0.05787008,14.0,49.7008,33.0,2.0,1.0,1.0]"
42,51.9324,"[18.7,0.0,0.02442574,8.0,52.9324,20.0,1.0,3.0,1.0]"
43,53.264,"[14.0,1.0,0.073462632,1.0,52.364,33.0,2.0,1.0,1.0]"
44,55.2614,"[14.65,0.0,0.0,12.0,56.4614,20.0,1.0,3.0,1.0]"
45,57.2588,"[6.63,1.0,0.018310142,1.0,57.7588,20.0,1.0,3.0,1.0]"
46,58.5904,"[7.06,1.0,0.073480266,13.0,58.8904,20.0,1.0,3.0,1.0]"
47,61.2536,"[15.7,1.0,0.033144603,0.0,62.7536,33.0,2.0,1.0,1.0]"
48,61.9194,"[15.1,1.0,0.164391573,0.0,62.8194,33.0,2.0,1.0,1.0]"
49,65.2484,"[13.0,1.0,0.123089128,1.0,63.6484,33.0,2.0,1.0,1.0]"
50,67.9116,"[13.65,0.0,0.066657791,3.0,32.6558,20.0,1.0,3.0,1.0]"
51,67.9116,"[16.1,1.0,0.267352587,3.0,34.9558,20.0,1.0,3.0,1.0]"
52,67.9116,"[19.25,0.0,0.180820798,2.0,35.9558,20.0,1.0,3.0,1.0]"
53,69.2432,"[7.67,0.0,0.185596553,2.0,35.7216,9.0,0.0,3.0,3.0]"
54,70.5748,"[5.175,0.0,0.050808821,7.0,33.6874,20.0,1.0,3.0,1.0]"
55,71.9064,"[8.01,0.0,0.117580062,11.0,36.6532,20.0,1.0,3.0,1.0]"
56,71.9064,"[13.65,1.0,0.044526443,9.0,37.9532,20.0,1.0,3.0,1.0]"
57,73.238,"[9.0,0.0,0.068153091,8.0,36.019,33.0,2.0,1.0,1.0]"
58,73.238,"[10.8,0.0,0.097805615,11.0,73.938,20.0,1.0,3.0,1.0]"
59,73.238,"[20.5,0.0,0.143164371,2.0,34.919,31.0,3.0,3.0,0.0]"
60,74.5696,"[20.5,0.0,0.063649582,3.0,74.7696,33.0,2.0,1.0,1.0]"
61,75.2354,"[13.1,0.0,0.13121032,4.0,74.0354,33.0,2.0,1.0,1.0]"
62,75.9012,"[6.635,1.0,0.046277956,3.0,36.7506,9.0,0.0,3.0,3.0]"
63,75.9012,"[8.365,0.0,0.120256303,11.0,39.2506,20.0,1.0,3.0,1.0]"
64,75.9012,"[11.8,0.0,0.094817105,11.0,77.9012,33.0,2.0,1.0,1.0]"
65,77.2328,"[11.65,0.0,0.03242518,11.0,38.8164,20.0,1.0,3.0,1.0]"
66,78.5644,"[6.32,0.0,0.012769753,9.0,39.9822,9.0,0.0,3.0,3.0]"
67,78.5644,"[6.32,0.0,0.021287234,9.0,38.5822,20.0,1.0,3.0,1.0]"
68,79.2302,"[13.65,1.0,0.043386131,1.0,80.2302,20.0,1.0,3.0,1.0]"
69,79.896,"[8.1,1.0,0.235183205,5.0,41.548,33.0,2.0,1.0,1.0]"
70,79.896,"[11.0,0.0,0.0,7.0,40.348,33.0,2.0,1.0,1.0]"
71,79.896,"[15.85,1.0,0.01251245,1.0,38.748,33.0,2.0,1.0,1.0]"
72,80.5618,"[17.35,0.0,0.035997636,12.0,78.6618,33.0,2.0,1.0,1.0]"
73,81.2276,"[19.1,0.0,0.075836522,4.0,40.2138,20.0,1.0,3.0,1.0]"
74,82.5592,"[12.5,1.0,0.0,0.0,80.8592,20.0,1.0,3.0,1.0]"
75,83.225,"[9.395,0.0,0.079261744,1.0,81.825,33.0,2.0,1.0,1.0]"
76,83.8908,"[6.59,0.0,0.176748258,0.0,82.7908,20.0,1.0,3.0,1.0]"
77,83.8908,"[10.6,0.0,0.0194158,10.0,41.6454,33.0,2.0,1.0,1.0]"
78,83.8908,"[16.2,0.0,0.074019393,3.0,41.7454,20.0,1.0,3.0,1.0]"
79,85.8882,"[5.73,0.0,0.079440262,8.0,86.7882,33.0,2.0,1.0,1.0]"
80,85.8882,"[6.525,0.0,0.158096128,2.0,86.3882,33.0,2.0,1.0,1.0]"
81,87.2198,"[12.5,1.0,0.12341737,5.0,86.0198,20.0,1.0,3.0,1.0]"
82,87.2198,"[14.1,0.0,0.220225608,0.0,85.6198,33.0,2.0,1.0,1.0]"
83,88.5514,"[5.425,1.0,0.191603334,6.0,87.0514,20.0,1.0,3.0,1.0]"
84,88.5514,"[19.6,0.0,0.072295507,2.0,89.7514,33.0,2.0,1.0,1.0]"
85,89.2172,"[13.8,1.0,0.02579577,5.0,88.4172,33.0,2.0,1.0,1.0]"
86,89.883,"[15.1,0.0,0.127334766,6.0,88.283,20.0,1.0,3.0,1.0]"
87,89.883,"[15.35,0.0,0.13064231,1.0,88.383,33.0,2.0,1.0,1.0]"
88,89.883,"[20.5,0.0,0.0,0.0,90.883,20.0,1.0,3.0,1.0]"
89,90.5488,"[11.15,0.0,0.210021713,4.0,44.2744,33.0,2.0,1.0,1.0]"
90,90.5488,"[15.85,1.0,0.102262138,9.0,47.1744,20.0,1.0,3.0,1.0]"
91,91.2146,"[7.325,0.0,0.156307983,0.0,92.2146,20.0,1.0,3.0,1.0]"
92,91.8804,"[17.6,1.0,0.026827052,10.0,47.8402,20.0,1.0,3.0,1.0]"
93,91.8804,"[17.6,1.0,0.028062401,10.0,44.0402,33.0,2.0,1.0,1.0]"
94,93.212,"[6.78,1.0,0.245407386,6.0,92.812,33.0,2.0,1.0,1.0]"
95,93.8778,"[20.6,0.0,0.039255412,0.0,94.4778,20.0,1.0,3.0,1.0]"
96,95.2094,"[18.1,0.0,0.037492325,0.0,95.5094,20.0,1.0,3.0,1.0]"
97,95.8752,"[8.71,0.0,0.233039817,5.0,49.5376,20.0,1.0,3.0,1.0]"
98,95.8752,"[15.2,0.0,0.087854925,8.0,95.9752,33.0,2.0,1.0,1.0]"
99,96.541,"[16.25,0.0,0.152632413,4.0,98.441,33.0,2.0,1.0,1.0]"
100,96.541,"[17.7,0.0,0.019438042,3.0,95.541,20.0,1.0,3.0,1.0]"
101,97.2068,"[13.5,1.0,0.21561193,13.0,98.6068,20.0,1.0,3.0,1.0]"
102,97.2068,"[15.2,0.0,0.021214364,7.0,48.2034,33.0,2.0,1.0,1.0]"
103,97.2068,"[17.25,1.0,0.079113947,1.0,99.2068,20.0,1.0,3.0,1.0]"
104,97.2068,"[17.7,1.0,0.027779381,0.0,50.1034,20.0,1.0,3.0,1.0]"
105,98.5384,"[8.68,0.0,0.01478914,3.0,97.7384,20.0,1.0,3.0,1.0]"
106,99.2042,"[10.8,0.0,0.164724567,9.0,98.4042,20.0,1.0,3.0,1.0]"
107,99.87,"[9.105,0.0,0.038559926,2.0,33.89,16.0,1.0,2.0,0.0]"
108,101.2016,"[8.89,0.0,0.009585169,3.0,102.5016,33.0,2.0,1.0,1.0]"
109,101.2016,"[9.8,1.0,0.235354055,6.0,50.8008,20.0,1.0,3.0,1.0]"
110,101.2016,"[11.35,0.0,0.051564827,1.0,49.0008,20.0,1.0,3.0,1.0]"
111,101.8674,"[7.75,1.0,0.083268523,3.0,32.9558,9.0,0.0,3.0,3.0]"
112,101.8674,"[19.25,0.0,0.108030434,2.0,32.4558,21.0,2.0,1.0,0.0]"
113,102.5332,"[6.55,0.0,0.042941559,10.0,102.9332,33.0,2.0,1.0,1.0]"
114,102.5332,"[15.5,1.0,0.044024163,0.0,102.0332,20.0,1.0,3.0,1.0]"
115,102.5332,"[16.5,1.0,0.133424184,0.0,102.2332,20.0,1.0,3.0,1.0]"
116,103.199,"[12.5,0.0,0.054363971,0.0,105.099,33.0,2.0,1.0,1.0]"
117,104.5306,"[20.85,0.0,0.037345714,0.0,106.5306,33.0,2.0,1.0,1.0]"
118,105.8622,"[5.175,0.0,0.053148497,7.0,36.3874,33.0,2.0,1.0,1.0]"
119,105.8622,"[9.195,0.0,0.080442371,2.0,107.7622,20.0,1.0,3.0,1.0]"
120,105.8622,"[12.6,0.0,0.02429329,4.0,33.4874,9.0,0.0,3.0,3.0]"
121,107.8596,"[5.325,1.0,0.0,4.0,55.9298,33.0,2.0,1.0,1.0]"
122,107.8596,"[11.65,0.0,0.304737387,4.0,54.7298,33.0,2.0,1.0,1.0]"
123,108.5254,"[14.6,1.0,0.071904258,0.0,106.8254,20.0,1.0,3.0,1.0]"
124,109.1912,"[7.05,0.0,0.1422157,1.0,108.7912,20.0,1.0,3.0,1.0]"
125,109.1912,"[15.2,0.0,0.056237906,2.0,110.7912,20.0,1.0,3.0,1.0]"
126,109.1912,"[19.25,0.0,0.178192864,4.0,54.9956,33.0,2.0,1.0,1.0]"
127,109.857,"[14.8,1.0,0.076851759,10.0,111.857,33.0,2.0,1.0,1.0]"
128,109.857,"[18.2,0.0,0.270300331,0.0,38.319,20.0,1.0,3.0,1.0]"
129,110.5228,"[9.0,1.0,0.120965853,14.0,55.8614,33.0,2.0,1.0,1.0]"
130,110.5228,"[14.65,0.0,0.298205272,11.0,55.7614,33.0,2.0,1.0,1.0]"
131,110.5228,"[20.1,0.0,0.124910635,4.0,109.6228,20.0,1.0,3.0,1.0]"
132,111.1886,"[10.195,0.0,0.211539389,5.0,110.9886,20.0,1.0,3.0,1.0]"
133,111.1886,"[18.7,0.0,0.065872936,0.0,113.1886,33.0,2.0,1.0,1.0]"
134,111.8544,"[4.555,1.0,0.060154968,3.0,110.1544,33.0,2.0,1.0,1.0]"
135,111.8544,"[6.215,0.0,0.012167793,0.0,37.4848,19.0,0.0,1.0,0.0]"
136,111.8544,"[10.65,0.0,0.041970938,0.0,55.4272,33.0,2.0,1.0,1.0]"
137,111.8544,"[11.6,0.0,0.067441726,4.0,57.4272,33.0,2.0,1.0,1.0]"
138,111.8544,"[11.65,1.0,0.018275816,9.0,110.8544,20.0,1.0,3.0,1.0]"
139,113.186,"[10.195,0.0,0.187841082,11.0,112.486,20.0,1.0,3.0,1.0]"
140,113.186,"[13.65,0.0,0.135226962,7.0,56.293,33.0,2.0,1.0,1.0]"
141,113.186,"[17.1,0.0,0.112402118,2.0,112.986,20.0,1.0,3.0,1.0]"
142,113.8518,"[7.27,0.0,0.124448295,8.0,112.0518,33.0,2.0,1.0,1.0]"
143,113.8518,"[8.63,1.0,0.057620562,1.0,115.4518,33.0,2.0,1.0,1.0]"
144,113.8518,"[20.7,0.0,0.04874969,0.0,37.5506,14.0,2.0,2.0,0.0]"
145,114.5176,"[13.65,1.0,0.021343732,1.0,58.3588,20.0,1.0,3.0,1.0]"
146,114.5176,"[18.6,0.0,0.19780911,12.0,55.6588,20.0,1.0,3.0,1.0]"
147,115.1834,"[8.26,0.0,0.057585723,11.0,113.7834,20.0,1.0,3.0,1.0]"
148,115.8492,"[9.8,1.0,0.11173569,0.0,115.9492,33.0,2.0,1.0,1.0]"
149,115.8492,"[15.2,0.0,0.169943195,7.0,116.2492,33.0,2.0,1.0,1.0]"
150,117.1808,"[6.425,0.0,0.018275994,5.0,115.2808,33.0,2.0,1.0,1.0]"
151,117.1808,"[15.0,1.0,0.091018048,5.0,60.2904,20.0,1.0,3.0,1.0]"
152,117.1808,"[15.85,0.0,0.180096791,8.0,57.3904,20.0,1.0,3.0,1.0]"
153,117.8466,"[7.72,1.0,0.147904328,0.0,116.6466,20.0,1.0,3.0,1.0]"
154,117.8466,"[20.35,0.0,0.090480214,1.0,119.5466,20.0,1.0,3.0,1.0]"
155,118.5124,"[13.3,0.0,0.035607579,6.0,119.9124,20.0,1.0,3.0,1.0]"
156,119.1782,"[16.7,1.0,0.071335395,4.0,120.3782,20.0,1.0,3.0,1.0]"
157,119.1782,"[17.6,1.0,0.082741482,1.0,118.7782,33.0,2.0,1.0,1.0]"
158,119.844,"[12.5,0.0,0.187841082,5.0,119.244,20.0,1.0,3.0,1.0]"
159,120.5098,"[5.765,0.0,0.126585095,3.0,122.4098,33.0,2.0,1.0,1.0]"
160,120.5098,"[9.8,1.0,0.127599399,1.0,118.9098,33.0,2.0,1.0,1.0]"
161,120.5098,"[11.65,1.0,0.191500528,6.0,121.2098,33.0,2.0,1.0,1.0]"
162,121.1756,"[5.03,0.0,0.014472516,2.0,122.0756,20.0,1.0,3.0,1.0]"
163,121.1756,"[11.0,0.0,0.015664229,9.0,122.2756,33.0,2.0,1.0,1.0]"
164,121.1756,"[20.6,0.0,0.13893181,6.0,119.5756,20.0,1.0,3.0,1.0]"
165,121.8414,"[8.785,0.0,0.0,0.0,123.0414,20.0,1.0,3.0,1.0]"
166,122.5072,"[6.365,0.0,0.012865901,3.0,59.3536,33.0,2.0,1.0,1.0]"
167,122.5072,"[7.55,1.0,0.051794958,0.0,122.6072,20.0,1.0,3.0,1.0]"
168,122.5072,"[12.6,1.0,0.072762086,0.0,120.9072,33.0,2.0,1.0,1.0]"
169,122.5072,"[15.7,1.0,0.031685529,0.0,63.1536,20.0,1.0,3.0,1.0]"
170,123.173,"[5.615,0.0,0.210511558,7.0,121.373,20.0,1.0,3.0,1.0]"
171,123.173,"[12.15,0.0,0.011314423,12.0,122.973,20.0,1.0,3.0,1.0]"
172,123.8388,"[9.42,1.0,0.076868664,3.0,62.1194,33.0,2.0,1.0,1.0]"
173,123.8388,"[12.0,0.0,0.132275338,6.0,123.8388,33.0,2.0,1.0,1.0]"
174,123.8388,"[19.85,1.0,0.034942397,1.0,61.9194,20.0,1.0,3.0,1.0]"
175,123.8388,"[19.85,1.0,0.036551446,1.0,62.7194,33.0,2.0,1.0,1.0]"
176,124.5046,"[16.25,0.0,0.100493148,0.0,123.1046,33.0,2.0,1.0,1.0]"
177,125.8362,"[9.1,0.0,0.291438755,6.0,126.8362,20.0,1.0,3.0,1.0]"
178,125.8362,"[14.5,1.0,0.072221801,5.0,43.6454,33.0,2.0,1.0,1.0]"
179,126.502,"[9.31,0.0,0.063529046,3.0,63.751,20.0,1.0,3.0,1.0]"
180,126.502,"[18.7,0.0,0.044024163,6.0,125.902,20.0,1.0,3.0,1.0]"
181,126.502,"[20.2,0.0,0.066200667,2.0,61.451,9.0,0.0,3.0,3.0]"
182,126.502,"[20.2,0.0,0.110356797,2.0,62.051,20.0,1.0,3.0,1.0]"
183,127.8336,"[8.42,0.0,0.187918654,7.0,65.4168,20.0,1.0,3.0,1.0]"
184,127.8336,"[18.85,0.0,0.159096908,11.0,129.3336,33.0,2.0,1.0,1.0]"
185,129.1652,"[7.825,0.0,0.133281968,9.0,63.2826,20.0,1.0,3.0,1.0]"
186,129.831,"[14.0,0.0,0.050535312,7.0,130.031,33.0,2.0,1.0,1.0]"
187,129.831,"[15.7,0.0,0.0,11.0,43.377,20.0,1.0,3.0,1.0]"
188,131.1626,"[6.425,0.0,0.105742544,14.0,130.5626,20.0,1.0,3.0,1.0]"
189,131.8284,"[11.15,0.0,0.07366703,12.0,66.2142,9.0,0.0,3.0,3.0]"
190,131.8284,"[15.15,1.0,0.021471456,1.0,131.0284,33.0,2.0,1.0,1.0]"
191,133.16,"[9.5,0.0,0.041878397,8.0,32.99,14.0,2.0,2.0,0.0]"
192,135.8232,"[7.75,1.0,0.145200948,3.0,35.4558,33.0,2.0,1.0,1.0]"
193,135.8232,"[9.195,0.0,0.177354373,6.0,46.6744,33.0,2.0,1.0,1.0]"
194,138.4864,"[7.67,0.0,0.309390255,2.0,33.2216,20.0,1.0,3.0,1.0]"
195,139.818,"[10.0,0.0,0.076755106,3.0,141.618,20.0,1.0,3.0,1.0]"
196,139.818,"[12.85,0.0,0.294939214,3.0,47.106,33.0,2.0,1.0,1.0]"
197,139.818,"[17.5,0.0,0.029299175,9.0,140.318,33.0,2.0,1.0,1.0]"
198,141.1496,"[6.385,1.0,0.123961415,1.0,33.2874,16.0,1.0,2.0,0.0]"
199,141.8154,"[13.85,0.0,0.051544658,8.0,142.5154,20.0,1.0,3.0,1.0]"
200,141.8154,"[16.0,0.0,0.157528118,4.0,142.9154,33.0,2.0,1.0,1.0]"
201,142.4812,"[14.0,1.0,0.175991929,3.0,140.7812,20.0,1.0,3.0,1.0]"
202,143.147,"[7.39,0.0,0.210596485,12.0,144.747,33.0,2.0,1.0,1.0]"
203,143.147,"[9.17,0.0,0.0,6.0,144.847,33.0,2.0,1.0,1.0]"
204,143.8128,"[10.5,1.0,0.044139551,6.0,143.9128,20.0,1.0,3.0,1.0]"
205,143.8128,"[10.5,1.0,0.084404264,4.0,49.5376,33.0,2.0,1.0,1.0]"
206,143.8128,"[16.75,0.0,0.126765903,7.0,35.7532,20.0,1.0,3.0,1.0]"
207,143.8128,"[19.85,0.0,0.026115595,2.0,49.0376,11.0,1.0,2.0,0.0]"
208,144.4786,"[21.1,0.0,0.050790917,2.0,142.7786,33.0,2.0,1.0,1.0]"
209,145.8102,"[10.0,0.0,0.156094569,7.0,144.3102,33.0,2.0,1.0,1.0]"
210,145.8102,"[11.395,0.0,0.017295906,7.0,47.1034,33.0,2.0,1.0,1.0]"
211,145.8102,"[13.0,0.0,0.061470858,2.0,48.6034,33.0,2.0,1.0,1.0]"
212,145.8102,"[15.2,0.0,0.012184999,7.0,50.3034,11.0,1.0,2.0,0.0]"
213,145.8102,"[19.35,1.0,0.137697119,6.0,47.1034,20.0,1.0,3.0,1.0]"
214,146.476,"[7.275,0.0,0.048932713,1.0,144.476,33.0,2.0,1.0,1.0]"
215,146.476,"[12.3,0.0,0.016476619,6.0,74.338,33.0,2.0,1.0,1.0]"
216,146.476,"[16.85,0.0,0.244102315,1.0,148.076,33.0,2.0,1.0,1.0]"
217,146.476,"[20.0,0.0,0.136124989,12.0,38.319,20.0,1.0,3.0,1.0]"
218,147.1418,"[18.5,1.0,0.109003832,3.0,145.2418,33.0,2.0,1.0,1.0]"
219,147.8076,"[10.195,0.0,0.188038372,1.0,146.4076,33.0,2.0,1.0,1.0]"
220,147.8076,"[10.695,1.0,0.019123874,1.0,73.0038,20.0,1.0,3.0,1.0]"
221,147.8076,"[15.5,1.0,0.15028599,3.0,51.0692,33.0,2.0,1.0,1.0]"
222,149.1392,"[20.5,0.0,0.060847634,3.0,75.0696,20.0,1.0,3.0,1.0]"
223,149.805,"[9.27,0.0,0.103419257,4.0,148.105,20.0,1.0,3.0,1.0]"
224,149.805,"[17.35,1.0,0.256152243,15.0,151.005,33.0,2.0,1.0,1.0]"
225,149.805,"[17.85,0.0,0.110152524,3.0,150.205,20.0,1.0,3.0,1.0]"
226,150.4708,"[11.15,1.0,0.014497036,4.0,150.8708,33.0,2.0,1.0,1.0]"
227,150.4708,"[20.7,0.0,0.047098175,2.0,75.5354,33.0,2.0,1.0,1.0]"
228,151.1366,"[11.1,0.0,0.104784329,0.0,150.4366,33.0,2.0,1.0,1.0]"
229,151.1366,"[20.1,1.0,0.0,3.0,152.2366,20.0,1.0,3.0,1.0]"
230,151.1366,"[20.7,0.0,0.065689432,2.0,149.7366,20.0,1.0,3.0,1.0]"
231,151.8024,"[20.75,0.0,0.035568147,8.0,151.8024,20.0,1.0,3.0,1.0]"
232,152.4682,"[17.85,0.0,0.081651443,9.0,152.5682,33.0,2.0,1.0,1.0]"
233,153.134,"[15.6,0.0,0.195688803,3.0,77.367,20.0,1.0,3.0,1.0]"
234,153.7998,"[6.035,0.0,0.236433601,1.0,155.5998,20.0,1.0,3.0,1.0]"
235,153.7998,"[6.035,0.0,0.247321039,1.0,152.3998,33.0,2.0,1.0,1.0]"
236,153.7998,"[6.825,1.0,0.078057026,5.0,154.5998,20.0,1.0,3.0,1.0]"
237,154.4656,"[12.35,1.0,0.311090379,6.0,79.2328,20.0,1.0,3.0,1.0]"
238,154.4656,"[15.85,0.0,0.043410693,13.0,39.4164,9.0,0.0,3.0,3.0]"
239,154.4656,"[20.35,0.0,0.021369722,2.0,75.8328,16.0,1.0,2.0,0.0]"
240,155.1314,"[5.86,1.0,0.264124669,9.0,155.7314,33.0,2.0,1.0,1.0]"
241,155.1314,"[19.2,1.0,0.142189843,5.0,153.8314,20.0,1.0,3.0,1.0]"
242,155.1314,"[19.2,1.0,0.148737487,5.0,155.1314,33.0,2.0,1.0,1.0]"
243,155.7972,"[16.35,0.0,0.034393057,0.0,50.8324,20.0,1.0,3.0,1.0]"
244,157.1288,"[9.195,1.0,0.086396038,6.0,79.0644,20.0,1.0,3.0,1.0]"
245,157.1288,"[16.75,1.0,0.041599644,8.0,40.9822,20.0,1.0,3.0,1.0]"
246,157.1288,"[19.35,1.0,0.083079826,0.0,80.3644,20.0,1.0,3.0,1.0]"
247,159.1262,"[14.5,1.0,0.170186628,1.0,159.0262,33.0,2.0,1.0,1.0]"
248,159.792,"[13.5,0.0,0.12163321,2.0,161.692,20.0,1.0,3.0,1.0]"
249,159.792,"[13.5,0.0,0.127234249,2.0,158.392,33.0,2.0,1.0,1.0]"
250,159.792,"[13.5,1.0,0.029893094,1.0,81.096,20.0,1.0,3.0,1.0]"
251,160.4578,"[14.85,1.0,0.06173052,0.0,159.1578,33.0,2.0,1.0,1.0]"
252,160.4578,"[20.75,0.0,0.19033746,1.0,159.4578,33.0,2.0,1.0,1.0]"
253,161.1236,"[11.8,0.0,0.098312421,7.0,81.4618,20.0,1.0,3.0,1.0]"
254,161.7894,"[4.88,1.0,0.223440258,6.0,52.2298,20.0,1.0,3.0,1.0]"
255,161.7894,"[6.13,0.0,0.178923163,0.0,55.7298,33.0,2.0,1.0,1.0]"
256,161.7894,"[16.75,0.0,0.037160705,11.0,54.2298,33.0,2.0,1.0,1.0]"
257,162.4552,"[14.15,0.0,0.035999599,8.0,41.5138,19.0,0.0,1.0,0.0]"
258,162.4552,"[14.65,0.0,0.145951533,2.0,160.9552,33.0,2.0,1.0,1.0]"
259,162.4552,"[20.35,1.0,0.252865979,9.0,82.7276,20.0,1.0,3.0,1.0]"
260,163.7868,"[19.25,0.0,0.101689151,4.0,54.6956,31.0,3.0,3.0,0.0]"
261,164.4526,"[11.1,1.0,0.090008963,0.0,164.0526,20.0,1.0,3.0,1.0]"
262,164.4526,"[12.1,0.0,0.025834128,2.0,165.1526,20.0,1.0,3.0,1.0]"
263,164.4526,"[18.25,0.0,0.10084386,13.0,166.3526,20.0,1.0,3.0,1.0]"
264,165.1184,"[19.7,0.0,0.043168763,8.0,82.8592,33.0,2.0,1.0,1.0]"
265,165.1184,"[20.5,1.0,0.032136417,3.0,83.9592,20.0,1.0,3.0,1.0]"
266,165.7842,"[5.485,0.0,0.071557769,7.0,165.7842,20.0,1.0,3.0,1.0]"
267,165.7842,"[16.35,0.0,0.054463442,9.0,163.8842,20.0,1.0,3.0,1.0]"
268,165.7842,"[19.5,0.0,0.024992442,2.0,53.6614,33.0,2.0,1.0,1.0]"
269,166.45,"[5.655,0.0,0.142732848,0.0,167.95,20.0,1.0,3.0,1.0]"
270,167.7816,"[9.395,0.0,0.069968018,12.0,83.9908,33.0,2.0,1.0,1.0]"
271,167.7816,"[10.6,0.0,0.011134397,10.0,42.8454,9.0,0.0,3.0,3.0]"
272,167.7816,"[10.6,0.0,0.01115195,10.0,40.6454,11.0,1.0,2.0,0.0]"
273,167.7816,"[19.6,1.0,0.22417463,1.0,168.8816,33.0,2.0,1.0,1.0]"
274,168.4474,"[17.7,0.0,0.020993364,2.0,166.8474,20.0,1.0,3.0,1.0]"
275,169.1132,"[13.15,0.0,0.03627089,10.0,85.9566,33.0,2.0,1.0,1.0]"
276,169.1132,"[20.0,1.0,0.100262068,6.0,169.6132,20.0,1.0,3.0,1.0]"
277,169.779,"[11.15,1.0,0.143831787,1.0,169.979,20.0,1.0,3.0,1.0]"
278,169.779,"[11.8,1.0,0.07665661,1.0,32.3558,31.0,3.0,3.0,0.0]"
279,170.4448,"[7.68,0.0,0.255348289,7.0,84.4224,20.0,1.0,3.0,1.0]"
280,170.4448,"[9.5,1.0,0.058835928,0.0,170.2448,20.0,1.0,3.0,1.0]"
281,170.4448,"[12.5,0.0,0.17314115,2.0,168.4448,20.0,1.0,3.0,1.0]"
